Line,Time,Remark
1,2022_04_23 00:09:02.768375,RL58673086,ENE,Address51 Part:,EB 51
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=78.1, GROUND=OFTAL FENCE, MSPLATE=63QA, HARMONIC=48.6, V NON-SHUNT=54.5, STATUS=CREW WAITING"
2,2022_04_23 01:27:18.368375,"RL58673086: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 2PM"
3,2022_04_23 04:10:41.768375,RL58673086: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
4,2022_04_23 06:20:27.968375,RL58673086: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_23 06:45:44.168375,RL58673086: Comment: 4.5 VOLTS REMAINING
6,2022_04_23 07:55:55.568375,RL58673086: Comment: CREW NOTIFIED
7,2022_04_23 08:17:15.368375,"RL58673086: Comment: SURVEY CONDUCTED, REPORTS 18BQ"
8,2022_04_23 10:43:29.168375,RL58673086: Comment: FLUSH NEEDED
9,2022_04_23 12:37:44.768375,RL58673086: Comment: ADDITIONAL ASSISTANCE NEEDED
10,2022_04_23 15:12:02.168375,RL58673086: Comment: BFS REQUIRED ON SITE
11,2022_04_23 17:09:26.168375,RL58673086: Comment: CONTACT S&R
