Line,Time,Remark
1,2022_04_22 19:13:55.062635,HD95464961,ENE,Address192 Part:,HD 192
,,"STRUCTURE=SIDEWALK, VOLTAGE=33.1, GROUND=OFTAL CURB, MSPLATE=58RK, HARMONIC=10.4, V NON-SHUNT=84.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 21:36:03.462635,"HD95464961: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
3,2022_04_22 23:21:12.462635,HD95464961: Comment: ELECTRICIAN RELEASED AT 10:43HRS
4,2022_04_23 02:01:39.462635,HD95464961: Comment: CONTACT S&R
5,2022_04_23 04:27:04.662635,HD95464961: Comment: EXPECTED SCAFFOLDING GOT ROLLDOWN GATE
6,2022_04_23 05:18:50.862635,"HD95464961: Comment: SURVEY CONDUCTED, REPORTS 31BQ"
7,2022_04_23 06:06:55.662635,HD95464961: Comment: 8.3 VOLTS REMAINING
8,2022_04_23 06:19:37.062635,HD95464961: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
9,2022_04_23 08:43:08.262635,HD95464961: Comment: FROM 61W TO 74X
10,2022_04_23 09:18:26.262635,HD95464961: Comment: SERVICE VEHICLE REQUESTED
11,2022_04_23 11:01:42.462635,HD95464961: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
12,2022_04_23 11:09:11.262635,HD95464961: Comment: FLUSH NEEDED
13,2022_04_23 14:08:13.062635,HD95464961: Comment: 21% HARMONICS
14,2022_04_23 16:06:10.062635,HD95464961: Comment: CREW NOTIFIED
