Line,Time,Remark
1,2022_04_23 01:53:51.406374,RL82034591,ENE,Address105 Part:,EB 105
,,"STRUCTURE=TRAFFIC LIGHT, VOLTAGE=23.8, GROUND=OFTAL FENCE, MSPLATE=94U, HARMONIC=45.7, V NON-SHUNT=32.3, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 03:33:37.006374,RL82034591: Comment: 17% HARMONICS
3,2022_04_23 05:45:16.006374,RL82034591: Comment: 8.6 VOLTS REMAINING
4,2022_04_23 08:38:28.606374,RL82034591: Comment: ELECTRICIAN RELEASED AT 12:46HRS
5,2022_04_23 09:33:13.006374,"RL82034591: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
6,2022_04_23 10:46:42.406374,RL82034591: Comment: FROM 90OS TO 71R
7,2022_04_23 12:07:20.206374,RL82034591: Comment: LOAD TEST SUCCEEDED AT 12:47HRS
8,2022_04_23 13:49:26.806374,RL82034591: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 16:28:01.606374,RL82034591: Comment: BFS REQUIRED ON SITE
10,2022_04_23 18:29:02.806374,RL82034591: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
11,2022_04_23 21:04:55.006374,"RL82034591: Comment: SURVEY CONDUCTED, REPORTS 15BQ"
12,2022_04_23 21:15:24.406374,RL82034591: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
13,2022_04_23 23:20:07.606374,RL82034591: Comment: EXPECTED TRAFFIC LIGHT GOT ASPHALT
14,2022_04_24 01:53:46.606374,RL82034591: Comment: 26.0 VOLTS
15,2022_04_24 03:29:20.206374,RL82034591: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
