Line,Time,Remark
1,2022_04_23 00:47:06.341287,OF45884271,ENE,Address14 Part:,TM 14
,,"STRUCTURE=SIDEWALK, VOLTAGE=70.0, GROUND=OFTAL FENCE, MSPLATE=37FQ, HARMONIC=17.6, V NON-SHUNT=74.5, STATUS=CREW WAITING"
2,2022_04_23 03:25:24.941287,"OF45884271: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
3,2022_04_23 04:27:44.741287,OF45884271: Comment: SERVICE VEHICLE REQUESTED
4,2022_04_23 06:07:38.141287,OF45884271: Comment: CREW NOTIFIED
5,2022_04_23 06:15:01.541287,OF45884271: Comment: ELECTRICIAN RELEASED AT 4:11HRS
6,2022_04_23 08:35:47.141287,OF45884271: Comment: FLUSH NEEDED
7,2022_04_23 09:54:54.341287,OF45884271: Comment: 86.6 VOLTS
8,2022_04_23 12:27:10.541287,OF45884271: Comment: BFS REQUIRED ON SITE
9,2022_04_23 13:39:47.741287,OF45884271: Comment: FROM 16CV TO 63Q
10,2022_04_23 14:10:28.541287,OF45884271: Comment: ADDITIONAL ASSISTANCE NEEDED
11,2022_04_23 14:34:00.341287,OF45884271: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
12,2022_04_23 15:59:05.741287,OF45884271: Comment: LOAD TEST SUCCEEDED AT 5:17HRS
13,2022_04_23 16:32:55.541287,OF45884271: Comment: 2.9 VOLTS REMAINING
14,2022_04_23 18:40:48.941287,OF45884271: Comment: EXPECTED MANHOLE COVER GOT MANHOLE COVER
