Line,Time,Remark
1,2022_04_22 17:42:04.540286,OF63421298,ENE,Address12 Part:,TM 12
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=35.6, GROUND=OFTAL FENCE, MSPLATE=41I, HARMONIC=12.9, V NON-SHUNT=1.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 18:31:56.740286,"OF63421298: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
3,2022_04_22 20:57:54.340286,OF63421298: Comment: ELECTRICIAN RELEASED AT 4:49HRS
4,2022_04_22 22:05:18.340286,OF63421298: Comment: CREW NOTIFIED
5,2022_04_22 22:46:59.140286,OF63421298: Comment: CONTACT S&R
6,2022_04_23 01:39:08.140286,OF63421298: Comment: SERVICE VEHICLE REQUESTED
7,2022_04_23 03:54:57.340286,OF63421298: Comment: EXPECTED SIDEWALK GOT ASPHALT
8,2022_04_23 06:47:57.940286,OF63421298: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 08:26:12.340286,OF63421298: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
10,2022_04_23 09:49:59.140286,OF63421298: Comment: 77.5 VOLTS
11,2022_04_23 11:49:28.540286,OF63421298: Comment: 10.0 VOLTS REMAINING
12,2022_04_23 14:28:35.740286,OF63421298: Comment: 41% HARMONICS
13,2022_04_23 15:01:03.940286,OF63421298: Comment: FLUSH NEEDED
14,2022_04_23 17:29:34.540286,OF63421298: Comment: FROM 90UW TO 12GO
