Line,Time,Remark
1,2022_04_23 02:06:50.187375,OF87484113,ENE,Address77 Part:,TM 77
,,"STRUCTURE=STORM DRAIN, VOLTAGE=35.7, GROUND=STREETSIGN, MSPLATE=52S, HARMONIC=25.1, V NON-SHUNT=29.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 04:30:54.387375,OF87484113: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
3,2022_04_23 04:40:15.987375,OF87484113: Comment: CREW NOTIFIED
4,2022_04_23 04:45:33.987375,OF87484113: Comment: ELECTRICIAN RELEASED AT 11:23HRS
5,2022_04_23 06:34:00.387375,"OF87484113: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
6,2022_04_23 09:13:41.187375,OF87484113: Comment: 10% HARMONICS
7,2022_04_23 11:35:24.387375,OF87484113: Comment: ADDITIONAL ASSISTANCE NEEDED
8,2022_04_23 14:03:36.987375,"OF87484113: Comment: SURVEY CONDUCTED, REPORTS 8BQ"
9,2022_04_23 15:54:14.787375,OF87484113: Comment: FROM 15I TO 68NB
10,2022_04_23 16:09:34.587375,OF87484113: Comment: LOAD TEST SUCCEEDED AT 1:23HRS
11,2022_04_23 18:22:56.787375,OF87484113: Comment: BFS REQUIRED ON SITE
12,2022_04_23 21:14:34.587375,OF87484113: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
