Line,Time,Remark
1,2022_04_22 19:38:00.985374,HD47663416,ENE,Address74 Part:,EB 74
,,"STRUCTURE=STORM DRAIN, VOLTAGE=20.5, GROUND=HDTAL CURB, MSPLATE=74YN, HARMONIC=21.9, V NON-SHUNT=44.4, STATUS=CREW WAITING"
2,2022_04_22 20:26:32.185374,HD47663416: Comment: 8.0 VOLTS REMAINING
3,2022_04_22 20:53:28.585374,HD47663416: Comment: FROM 30Z TO 45L
4,2022_04_22 23:35:30.985374,HD47663416: Comment: ELECTRICIAN RELEASED AT 6:45HRS
5,2022_04_23 00:16:30.385374,"HD47663416: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
6,2022_04_23 02:23:21.985374,HD47663416: Comment: CREW NOTIFIED
7,2022_04_23 03:20:26.185374,HD47663416: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
8,2022_04_23 04:57:44.185374,HD47663416: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 07:53:42.985374,HD47663416: Comment: EXPECTED SCAFFOLDING GOT STREET LIGHT
10,2022_04_23 08:17:33.985374,HD47663416: Comment: BFS REQUIRED ON SITE
