Line,Time,Remark
1,2022_04_22 14:25:36.943288,HD95563040,ENE,Address17 Part:,EB 17
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=32.3, GROUND=HDTAL CURB, MSPLATE=98KV, HARMONIC=49.2, V NON-SHUNT=49.0, STATUS=CREW WAITING"
2,2022_04_22 16:23:12.943288,HD95563040: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
3,2022_04_22 19:01:45.943288,HD95563040: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
4,2022_04_22 19:44:12.943288,HD95563040: Comment: FROM 68WG TO 91T
5,2022_04_22 21:12:42.943288,HD95563040: Comment: BFS REQUIRED ON SITE
6,2022_04_22 23:36:05.743288,"HD95563040: Comment: SURVEY CONDUCTED, REPORTS 26BQ"
7,2022_04_23 01:48:20.143288,"HD95563040: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 2PM"
8,2022_04_23 03:30:50.143288,HD95563040: Comment: CONTACT S&R
9,2022_04_23 05:22:43.543288,HD95563040: Comment: 64.7 VOLTS
10,2022_04_23 06:00:53.743288,HD95563040: Comment: LOAD TEST SUCCEEDED AT 10:44HRS
11,2022_04_23 06:43:29.743288,HD95563040: Comment: 33% HARMONICS
12,2022_04_23 08:09:12.343288,HD95563040: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
13,2022_04_23 09:24:18.343288,HD95563040: Comment: CREW NOTIFIED
14,2022_04_23 12:22:39.343288,HD95563040: Comment: EXPECTED SERVICE BOX GOT GAS CAP
