Line,Time,Remark
1,2022_04_22 12:58:34.646934,OF27553093,ENE,Address169 Part:,EB 169
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=9.2, GROUND=STREETSIGN, MSPLATE=52R, HARMONIC=18.1, V NON-SHUNT=39.9, STATUS=CREW WAITING"
2,2022_04_22 15:10:49.646934,"OF27553093: Comment: SURVEY CONDUCTED, REPORTS 16BQ"
3,2022_04_22 16:05:50.246934,"OF27553093: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
4,2022_04_22 17:44:44.846934,OF27553093: Comment: EXPECTED SIDEWALK GOT SCAFFOLDING
5,2022_04_22 18:53:14.846934,OF27553093: Comment: ELECTRICIAN RELEASED AT 1:35HRS
6,2022_04_22 20:58:59.846934,OF27553093: Comment: SERVICE VEHICLE REQUESTED
7,2022_04_22 23:38:12.446934,OF27553093: Comment: FROM 39AC TO 61MX
8,2022_04_23 01:25:57.446934,OF27553093: Comment: CREW NOTIFIED
9,2022_04_23 02:07:53.846934,OF27553093: Comment: FLUSH NEEDED
