Line,Time,Remark
1,2022_04_22 20:24:41.231825,OF43587527,ENE,Address145 Part:,HD 145
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=19.8, GROUND=OFTAL CURB, MSPLATE=51TB, HARMONIC=48.9, V NON-SHUNT=14.1, STATUS=CREW WAITING"
2,2022_04_22 20:52:31.631825,OF43587527: Comment: LOAD TEST SUCCEEDED AT 9:33HRS
3,2022_04_22 21:06:46.031825,OF43587527: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
4,2022_04_22 22:47:42.431825,OF43587527: Comment: EXPECTED STREET LIGHT GOT SCAFFOLDING
5,2022_04_22 23:57:13.031825,OF43587527: Comment: BFS REQUIRED ON SITE
6,2022_04_23 00:09:16.031825,OF43587527: Comment: SERVICE VEHICLE REQUESTED
7,2022_04_23 01:43:08.231825,OF43587527: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
8,2022_04_23 04:00:26.831825,OF43587527: Comment: ELECTRICIAN RELEASED AT 4:55HRS
9,2022_04_23 06:14:16.031825,OF43587527: Comment: ADDITIONAL ASSISTANCE NEEDED
10,2022_04_23 07:22:29.231825,OF43587527: Comment: CREW NOTIFIED
11,2022_04_23 09:21:57.431825,"OF43587527: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
