Line,Time,Remark
1,2022_04_23 00:57:43.597375,EB17941035,ENE,Address91 Part:,EB 91
,,"STRUCTURE=DIRT, VOLTAGE=48.8, GROUND=STREETSIGN, MSPLATE=63L, HARMONIC=19.4, V NON-SHUNT=6.8, STATUS=CREW WAITING"
2,2022_04_23 03:00:11.797375,EB17941035: Comment: ADDITIONAL ASSISTANCE NEEDED
3,2022_04_23 04:12:14.197375,EB17941035: Comment: 15% HARMONICS
4,2022_04_23 04:46:15.997375,EB17941035: Comment: SERVICE VEHICLE REQUESTED
5,2022_04_23 06:17:55.597375,EB17941035: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
6,2022_04_23 07:01:36.997375,EB17941035: Comment: LOAD TEST SUCCEEDED AT 5:38HRS
7,2022_04_23 09:03:15.997375,EB17941035: Comment: ELECTRICIAN RELEASED AT 2:28HRS
8,2022_04_23 10:51:35.797375,EB17941035: Comment: CONTACT S&R
9,2022_04_23 11:04:54.997375,EB17941035: Comment: CREW NOTIFIED
10,2022_04_23 13:24:02.797375,EB17941035: Comment: BFS REQUIRED ON SITE
11,2022_04_23 14:18:50.797375,EB17941035: Comment: FROM 61Z TO 15I
12,2022_04_23 17:01:36.397375,EB17941035: Comment: EXPECTED SCAFFOLDING GOT SCAFFOLDING
13,2022_04_23 19:05:42.397375,EB17941035: Comment: FLUSH NEEDED
14,2022_04_23 19:13:38.797375,"EB17941035: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
