Line,Time,Remark
1,2022_04_23 03:57:35.838826,EB06169932,ENE,Address155 Part:,EB 155
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=81.5, GROUND=OFTAL CURB, MSPLATE=91B, HARMONIC=8.1, V NON-SHUNT=37.2, STATUS=CREW WAITING"
2,2022_04_23 05:23:23.838826,"EB06169932: Comment: SURVEY CONDUCTED, REPORTS 73BQ"
3,2022_04_23 06:15:08.238826,EB06169932: Comment: FLUSH NEEDED
4,2022_04_23 08:01:20.238826,EB06169932: Comment: EXPECTED TRAFFIC LIGHT GOT MANHOLE COVER
5,2022_04_23 11:00:25.038826,EB06169932: Comment: 2.1 VOLTS REMAINING
6,2022_04_23 12:59:56.238826,"EB06169932: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
7,2022_04_23 15:16:15.438826,EB06169932: Comment: FROM 12S TO 55CX
8,2022_04_23 17:53:59.838826,EB06169932: Comment: 26% HARMONICS
9,2022_04_23 18:06:59.838826,EB06169932: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
