Line,Time,Remark
1,2022_04_22 16:55:29.166382,HD41891678,ENE,Address48 Part:,RL 48
,,"STRUCTURE=STREET LIGHT, VOLTAGE=74.7, GROUND=HDTAL CURB, MSPLATE=92KQ, HARMONIC=17.3, V NON-SHUNT=20.8, STATUS=CREW WAITING"
2,2022_04_22 19:29:03.966382,HD41891678: Comment: FLUSH NEEDED
3,2022_04_22 19:45:17.766382,HD41891678: Comment: 8.2 VOLTS
4,2022_04_22 21:36:37.566382,HD41891678: Comment: CONTACT S&R
5,2022_04_22 21:56:49.566382,HD41891678: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
6,2022_04_23 00:15:44.166382,"HD41891678: Comment: SURVEY CONDUCTED, REPORTS 40BQ"
7,2022_04_23 01:36:20.166382,HD41891678: Comment: SERVICE VEHICLE REQUESTED
8,2022_04_23 04:27:09.366382,HD41891678: Comment: 9.5 VOLTS REMAINING
9,2022_04_23 04:36:06.366382,HD41891678: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
10,2022_04_23 05:34:56.166382,HD41891678: Comment: BFS REQUIRED ON SITE
11,2022_04_23 05:52:30.366382,HD41891678: Comment: 9% HARMONICS
12,2022_04_23 08:43:17.166382,HD41891678: Comment: LOAD TEST SUCCEEDED AT 10:19HRS
13,2022_04_23 11:13:32.766382,HD41891678: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
14,2022_04_23 13:56:08.166382,"HD41891678: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 2PM"
15,2022_04_23 15:31:12.966382,HD41891678: Comment: ELECTRICIAN RELEASED AT 7:56HRS
