Line,Time,Remark
1,2022_04_23 02:33:47.751287,RL32782436,ENE,Address28 Part:,OF 28
,,"STRUCTURE=GAS CAP, VOLTAGE=51.0, GROUND=STREETSIGN, MSPLATE=78D, HARMONIC=9.8, V NON-SHUNT=22.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 02:42:58.551287,RL32782436: Comment: BFS REQUIRED ON SITE
3,2022_04_23 04:52:25.551287,"RL32782436: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
4,2022_04_23 07:38:18.351287,RL32782436: Comment: CREW NOTIFIED
5,2022_04_23 08:38:39.351287,RL32782436: Comment: CONTACT S&R
6,2022_04_23 10:25:12.951287,RL32782436: Comment: FROM 72SB TO 81U
7,2022_04_23 11:47:02.151287,RL32782436: Comment: 1.7 VOLTS REMAINING
8,2022_04_23 14:29:21.351287,RL32782436: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 15:20:27.351287,"RL32782436: Comment: SURVEY CONDUCTED, REPORTS 12BQ"
10,2022_04_23 17:53:36.351287,RL32782436: Comment: 29% HARMONICS
11,2022_04_23 18:14:59.751287,RL32782436: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
12,2022_04_23 21:13:39.351287,RL32782436: Comment: 56.4 VOLTS
13,2022_04_23 23:05:03.351287,RL32782436: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
14,2022_04_23 23:17:57.351287,RL32782436: Comment: EXPECTED SERVICE BOX GOT MANHOLE COVER
