Line,Time,Remark
1,2022_04_22 23:07:36.965374,TM51785716,ENE,Address46 Part:,EB 46
,,"STRUCTURE=GAS CAP, VOLTAGE=30.6, GROUND=OFTAL CURB, MSPLATE=88AL, HARMONIC=28.1, V NON-SHUNT=6.4, STATUS=CREW WAITING"
2,2022_04_23 01:29:41.165374,TM51785716: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
3,2022_04_23 02:50:23.165374,TM51785716: Comment: FLUSH NEEDED
4,2022_04_23 05:21:21.965374,TM51785716: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_23 05:33:11.765374,TM51785716: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
6,2022_04_23 06:04:59.165374,TM51785716: Comment: 11.3 VOLTS
7,2022_04_23 06:26:02.165374,TM51785716: Comment: SERVICE VEHICLE REQUESTED
8,2022_04_23 07:56:14.765374,TM51785716: Comment: LOAD TEST SUCCEEDED AT 1:40HRS
9,2022_04_23 08:30:18.965374,TM51785716: Comment: EXPECTED SIDEWALK GOT DIRT
