Line,Time,Remark
1,2022_04_23 03:37:53.845933,HD87589051,ENE,Address167 Part:,TM 167
,,"STRUCTURE=DIRT, VOLTAGE=52.4, GROUND=HYDRANT, MSPLATE=50KO, HARMONIC=35.1, V NON-SHUNT=95.1, STATUS=CREW WAITING"
2,2022_04_23 06:17:26.845933,HD87589051: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
3,2022_04_23 06:43:54.445933,HD87589051: Comment: FLUSH NEEDED
4,2022_04_23 09:38:24.445933,HD87589051: Comment: CREW NOTIFIED
5,2022_04_23 10:12:23.245933,HD87589051: Comment: CONTACT S&R
6,2022_04_23 11:09:15.445933,HD87589051: Comment: ELECTRICIAN RELEASED AT 1:20HRS
7,2022_04_23 14:05:50.245933,"HD87589051: Comment: SURVEY CONDUCTED, REPORTS 62BQ"
8,2022_04_23 14:29:55.645933,HD87589051: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 16:15:44.845933,HD87589051: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
