Line,Time,Remark
1,2022_04_22 21:42:02.792375,EB74854672,ENE,Address84 Part:,EB 84
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=48.7, GROUND=OFTAL CURB, MSPLATE=71T, HARMONIC=5.5, V NON-SHUNT=42.6, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 23:45:35.192375,EB74854672: Comment: CONTACT S&R
3,2022_04_23 02:05:04.592375,EB74854672: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
4,2022_04_23 04:36:00.392375,EB74854672: Comment: CREW NOTIFIED
5,2022_04_23 05:12:11.792375,EB74854672: Comment: SERVICE VEHICLE REQUESTED
6,2022_04_23 06:40:14.192375,EB74854672: Comment: ELECTRICIAN RELEASED AT 11:28HRS
7,2022_04_23 08:43:20.192375,EB74854672: Comment: ADDITIONAL ASSISTANCE NEEDED
8,2022_04_23 11:23:15.992375,EB74854672: Comment: EXPECTED GAS CAP GOT SCAFFOLDING
9,2022_04_23 12:55:50.192375,EB74854672: Comment: FROM 33J TO 35M
10,2022_04_23 13:25:44.792375,EB74854672: Comment: FLUSH NEEDED
