Line,Time,Remark
1,2022_04_23 04:20:55.041933,EB80774120,ENE,Address160 Part:,EB 160
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=30.8, GROUND=HYDRANT, MSPLATE=69J, HARMONIC=47.5, V NON-SHUNT=22.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 06:14:32.241933,EB80774120: Comment: SERVICE VEHICLE REQUESTED
3,2022_04_23 08:46:40.041933,EB80774120: Comment: CONTACT S&R
4,2022_04_23 10:08:10.041933,EB80774120: Comment: EXPECTED STREET LIGHT GOT SIDEWALK
5,2022_04_23 12:06:46.041933,EB80774120: Comment: CREW NOTIFIED
6,2022_04_23 15:01:55.041933,EB80774120: Comment: BFS REQUIRED ON SITE
7,2022_04_23 17:14:28.641933,EB80774120: Comment: LOAD TEST SUCCEEDED AT 11:19HRS
8,2022_04_23 19:28:36.441933,EB80774120: Comment: ELECTRICIAN RELEASED AT 3:41HRS
9,2022_04_23 22:18:02.841933,EB80774120: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
10,2022_04_23 22:52:02.841933,"EB80774120: Comment: SURVEY CONDUCTED, REPORTS 61BQ"
11,2022_04_24 00:37:43.641933,"EB80774120: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
12,2022_04_24 01:56:49.041933,EB80774120: Comment: 6.0 VOLTS REMAINING
13,2022_04_24 04:09:08.241933,EB80774120: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
14,2022_04_24 06:14:35.241933,EB80774120: Comment: FLUSH NEEDED
