Line,Time,Remark
1,2022_04_22 15:48:58.042933,EB21059095,ENE,Address162 Part:,OF 162
,,"STRUCTURE=SERVICE BOX, VOLTAGE=64.8, GROUND=OFTAL FENCE, MSPLATE=46I, HARMONIC=24.5, V NON-SHUNT=64.3, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 17:40:53.842933,EB21059095: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
3,2022_04_22 20:15:22.642933,EB21059095: Comment: CONTACT S&R
4,2022_04_22 20:27:50.242933,EB21059095: Comment: SERVICE VEHICLE REQUESTED
5,2022_04_22 20:35:28.642933,EB21059095: Comment: LOAD TEST SUCCEEDED AT 10:23HRS
6,2022_04_22 23:03:51.442933,EB21059095: Comment: CREW NOTIFIED
7,2022_04_22 23:26:40.042933,EB21059095: Comment: FROM 84B TO 87V
8,2022_04_23 01:43:26.842933,EB21059095: Comment: 88.9 VOLTS
9,2022_04_23 03:24:31.642933,EB21059095: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
10,2022_04_23 06:06:22.642933,EB21059095: Comment: 12% HARMONICS
11,2022_04_23 06:28:50.242933,EB21059095: Comment: FLUSH NEEDED
12,2022_04_23 08:46:35.842933,"EB21059095: Comment: SURVEY CONDUCTED, REPORTS 42BQ"
