Line,Time,Remark
1,2022_04_22 17:36:15.417575,HD15402763,ENE,Address123 Part:,HD 123
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=32.5, GROUND=STREETSIGN, MSPLATE=23RW, HARMONIC=42.1, V NON-SHUNT=22.7, STATUS=CREW WAITING"
2,2022_04_22 18:59:50.217575,HD15402763: Comment: 6.3 VOLTS REMAINING
3,2022_04_22 19:24:55.017575,HD15402763: Comment: ADDITIONAL ASSISTANCE NEEDED
4,2022_04_22 22:17:53.817575,HD15402763: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
5,2022_04_23 00:21:29.817575,HD15402763: Comment: EXPECTED GAS CAP GOT SIDEWALK
6,2022_04_23 02:24:22.617575,HD15402763: Comment: BFS REQUIRED ON SITE
7,2022_04_23 04:10:44.217575,HD15402763: Comment: ELECTRICIAN RELEASED AT 6:15HRS
8,2022_04_23 06:57:31.617575,HD15402763: Comment: 42% HARMONICS
9,2022_04_23 07:29:39.417575,HD15402763: Comment: CREW NOTIFIED
10,2022_04_23 08:51:32.817575,HD15402763: Comment: FROM 41W TO 34R
11,2022_04_23 10:51:59.817575,"HD15402763: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
12,2022_04_23 13:17:18.417575,HD15402763: Comment: SERVICE VEHICLE REQUESTED
13,2022_04_23 15:20:44.217575,HD15402763: Comment: FLUSH NEEDED
14,2022_04_23 16:37:11.217575,HD15402763: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
