Line,Time,Remark
1,2022_04_22 19:50:56.216574,HD21568201,ENE,Address121 Part:,HD 121
,,"STRUCTURE=STORM DRAIN, VOLTAGE=85.1, GROUND=HDTAL CURB, MSPLATE=65KE, HARMONIC=16.6, V NON-SHUNT=74.5, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 20:30:04.616574,HD21568201: Comment: LOAD TEST SUCCEEDED AT 1:23HRS
3,2022_04_22 23:01:27.416574,HD21568201: Comment: ADDITIONAL ASSISTANCE NEEDED
4,2022_04_22 23:46:47.216574,HD21568201: Comment: CREW NOTIFIED
5,2022_04_23 02:10:41.816574,"HD21568201: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
6,2022_04_23 04:40:33.416574,"HD21568201: Comment: SURVEY CONDUCTED, REPORTS 32BQ"
7,2022_04_23 06:20:11.216574,HD21568201: Comment: EXPECTED ASPHALT GOT MANHOLE COVER
8,2022_04_23 06:44:57.416574,HD21568201: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
9,2022_04_23 09:02:13.616574,HD21568201: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
10,2022_04_23 09:41:35.816574,HD21568201: Comment: CONTACT S&R
11,2022_04_23 10:20:11.816574,HD21568201: Comment: ELECTRICIAN RELEASED AT 9:16HRS
12,2022_04_23 12:44:16.616574,HD21568201: Comment: FLUSH NEEDED
