Line,Time,Remark
1,2022_04_22 17:47:30.458536,OF37874684,ENE,Address186 Part:,EB 186
,,"STRUCTURE=ASPHALT, VOLTAGE=88.2, GROUND=HYDRANT, MSPLATE=92LU, HARMONIC=27.7, V NON-SHUNT=77.7, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 18:37:13.658536,OF37874684: Comment: 38.0 VOLTS
3,2022_04_22 20:30:20.258536,OF37874684: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
4,2022_04_22 20:42:25.658536,OF37874684: Comment: FROM 71K TO 00VF
5,2022_04_22 23:32:28.058536,OF37874684: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
6,2022_04_23 01:42:17.858536,"OF37874684: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
7,2022_04_23 02:24:01.658536,OF37874684: Comment: 6.4 VOLTS REMAINING
8,2022_04_23 03:46:54.458536,OF37874684: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 05:53:23.258536,"OF37874684: Comment: SURVEY CONDUCTED, REPORTS 73BQ"
