Line,Time,Remark
1,2022_04_22 23:51:16.657536,TM66152786,ENE,Address184 Part:,EB 184
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=59.2, GROUND=HYDRANT, MSPLATE=04H, HARMONIC=35.2, V NON-SHUNT=82.1, STATUS=CREW WAITING"
2,2022_04_23 00:26:10.657536,TM66152786: Comment: 83.4 VOLTS
3,2022_04_23 02:10:33.457536,TM66152786: Comment: SERVICE VEHICLE REQUESTED
4,2022_04_23 02:47:25.657536,"TM66152786: Comment: SURVEY CONDUCTED, REPORTS 17BQ"
5,2022_04_23 03:50:46.057536,TM66152786: Comment: FROM 36J TO 00Q
6,2022_04_23 06:31:29.857536,TM66152786: Comment: BFS REQUIRED ON SITE
7,2022_04_23 06:45:48.457536,TM66152786: Comment: CONTACT S&R
8,2022_04_23 09:21:29.257536,TM66152786: Comment: CREW NOTIFIED
9,2022_04_23 11:40:20.257536,TM66152786: Comment: 6.5 VOLTS REMAINING
10,2022_04_23 11:55:31.657536,TM66152786: Comment: ADDITIONAL ASSISTANCE NEEDED
11,2022_04_23 13:17:11.857536,TM66152786: Comment: EXPECTED SCAFFOLDING GOT DIRT
12,2022_04_23 15:03:56.857536,TM66152786: Comment: LOAD TEST SUCCEEDED AT 8:39HRS
13,2022_04_23 15:35:02.257536,TM66152786: Comment: ELECTRICIAN RELEASED AT 9:54HRS
14,2022_04_23 17:12:58.657536,TM66152786: Comment: 23% HARMONICS
15,2022_04_23 18:28:32.857536,TM66152786: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
