Line,Time,Remark
1,2022_04_22 13:12:05.189375,OF35416670,ENE,Address80 Part:,TM 80
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=33.3, GROUND=STREETSIGN, MSPLATE=91NO, HARMONIC=20.9, V NON-SHUNT=38.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 16:11:15.389375,OF35416670: Comment: FLUSH NEEDED
3,2022_04_22 17:47:00.389375,OF35416670: Comment: CREW NOTIFIED
4,2022_04_22 19:45:24.389375,OF35416670: Comment: 13.2 VOLTS
5,2022_04_22 21:19:23.189375,OF35416670: Comment: 36% HARMONICS
6,2022_04_22 22:25:58.589375,OF35416670: Comment: EXPECTED SCAFFOLDING GOT GAS CAP
7,2022_04_22 23:43:31.589375,OF35416670: Comment: 1.4 VOLTS REMAINING
8,2022_04_23 00:26:13.589375,OF35416670: Comment: ELECTRICIAN RELEASED AT 2:45HRS
9,2022_04_23 02:30:53.189375,OF35416670: Comment: SERVICE VEHICLE REQUESTED
10,2022_04_23 03:21:36.989375,OF35416670: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
11,2022_04_23 05:54:02.189375,"OF35416670: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
12,2022_04_23 08:15:47.789375,OF35416670: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
13,2022_04_23 10:45:38.189375,OF35416670: Comment: CONTACT S&R
14,2022_04_23 13:20:48.989375,OF35416670: Comment: LOAD TEST SUCCEEDED AT 6:57HRS
15,2022_04_23 14:38:46.589375,"OF35416670: Comment: SURVEY CONDUCTED, REPORTS 35BQ"
