Line,Time,Remark
1,2022_04_22 20:45:36.964374,OF30125022,ENE,Address45 Part:,EB 45
,,"STRUCTURE=TRAFFIC LIGHT, VOLTAGE=27.3, GROUND=HYDRANT, MSPLATE=88KS, HARMONIC=48.9, V NON-SHUNT=40.5, STATUS=CREW WAITING"
2,2022_04_22 21:41:33.964374,OF30125022: Comment: 7.9 VOLTS REMAINING
3,2022_04_22 22:32:37.564374,OF30125022: Comment: CONTACT S&R
4,2022_04_22 23:20:05.764374,OF30125022: Comment: ADDITIONAL ASSISTANCE NEEDED
5,2022_04_23 00:42:43.564374,OF30125022: Comment: FROM 76A TO 92J
6,2022_04_23 02:50:34.564374,OF30125022: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
7,2022_04_23 05:28:58.564374,OF30125022: Comment: FLUSH NEEDED
8,2022_04_23 05:48:39.964374,OF30125022: Comment: LOAD TEST SUCCEEDED AT 2:44HRS
9,2022_04_23 06:46:32.764374,"OF30125022: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
10,2022_04_23 07:31:15.364374,OF30125022: Comment: 25% HARMONICS
11,2022_04_23 08:25:14.764374,OF30125022: Comment: EXPECTED MANHOLE COVER GOT ROLLDOWN GATE
12,2022_04_23 10:17:56.764374,OF30125022: Comment: BFS REQUIRED ON SITE
13,2022_04_23 12:04:56.764374,OF30125022: Comment: SERVICE VEHICLE REQUESTED
14,2022_04_23 12:39:04.564374,OF30125022: Comment: CREW NOTIFIED
15,2022_04_23 14:41:47.164374,OF30125022: Comment: ELECTRICIAN RELEASED AT 2:55HRS
