Line,Time,Remark
1,2022_04_22 21:58:49.013574,RL03720360,ENE,Address116 Part:,OF 116
,,"STRUCTURE=STORM DRAIN, VOLTAGE=39.7, GROUND=HYDRANT, MSPLATE=49S, HARMONIC=28.4, V NON-SHUNT=96.6, STATUS=CREW WAITING"
2,2022_04_22 22:35:27.413574,RL03720360: Comment: BFS REQUIRED ON SITE
3,2022_04_22 23:52:07.013574,RL03720360: Comment: CREW NOTIFIED
4,2022_04_23 02:14:49.013574,RL03720360: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_23 05:10:22.613574,RL03720360: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
6,2022_04_23 05:56:04.013574,RL03720360: Comment: SERVICE VEHICLE REQUESTED
7,2022_04_23 07:27:04.613574,RL03720360: Comment: FLUSH NEEDED
8,2022_04_23 10:18:55.013574,RL03720360: Comment: LOAD TEST SUCCEEDED AT 8:53HRS
9,2022_04_23 11:17:56.213574,RL03720360: Comment: CONTACT S&R
10,2022_04_23 13:50:31.013574,RL03720360: Comment: ADDITIONAL ASSISTANCE NEEDED
