Line,Time,Remark
1,2022_04_22 12:44:24.411374,TM54777596,ENE,Address113 Part:,HD 113
,,"STRUCTURE=DIRT, VOLTAGE=75.2, GROUND=OFTAL FENCE, MSPLATE=39F, HARMONIC=9.4, V NON-SHUNT=62.8, STATUS=CREW WAITING"
2,2022_04_22 15:22:50.811374,TM54777596: Comment: ADDITIONAL ASSISTANCE NEEDED
3,2022_04_22 15:44:27.411374,TM54777596: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
4,2022_04_22 17:46:53.211374,TM54777596: Comment: EXPECTED MANHOLE COVER GOT MANHOLE COVER
5,2022_04_22 20:08:37.611374,TM54777596: Comment: SERVICE VEHICLE REQUESTED
6,2022_04_22 22:14:16.011374,TM54777596: Comment: 44% HARMONICS
7,2022_04_22 23:13:56.211374,TM54777596: Comment: 87.6 VOLTS
8,2022_04_22 23:39:59.211374,TM54777596: Comment: 9.4 VOLTS REMAINING
9,2022_04_23 02:32:04.611374,TM54777596: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
10,2022_04_23 04:49:56.811374,TM54777596: Comment: BFS REQUIRED ON SITE
11,2022_04_23 05:16:23.811374,TM54777596: Comment: CONTACT S&R
12,2022_04_23 07:20:38.811374,TM54777596: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
13,2022_04_23 09:58:18.411374,TM54777596: Comment: ELECTRICIAN RELEASED AT 10:18HRS
