Line,Time,Remark
1,2022_04_22 18:15:08.804374,OF84419026,ENE,Address102 Part:,RL 102
,,"STRUCTURE=DIRT, VOLTAGE=57.0, GROUND=HYDRANT, MSPLATE=76I, HARMONIC=46.1, V NON-SHUNT=36.0, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 21:02:24.404374,OF84419026: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
3,2022_04_22 22:16:43.004374,OF84419026: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
4,2022_04_23 00:35:50.804374,OF84419026: Comment: EXPECTED ROLLDOWN GATE GOT ROLLDOWN GATE
5,2022_04_23 02:11:47.204374,OF84419026: Comment: BFS REQUIRED ON SITE
6,2022_04_23 04:41:25.604374,OF84419026: Comment: SERVICE VEHICLE REQUESTED
7,2022_04_23 05:26:08.204374,OF84419026: Comment: CONTACT S&R
8,2022_04_23 07:19:24.404374,OF84419026: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 09:21:49.604374,OF84419026: Comment: LOAD TEST SUCCEEDED AT 3:35HRS
10,2022_04_23 10:47:59.804374,OF84419026: Comment: 30% HARMONICS
11,2022_04_23 12:28:04.604374,OF84419026: Comment: CREW NOTIFIED
