Line,Time,Remark
1,2022_04_22 23:49:25.595375,TM28345553,ENE,Address89 Part:,RL 89
,,"STRUCTURE=ASPHALT, VOLTAGE=26.7, GROUND=OFTAL FENCE, MSPLATE=17QF, HARMONIC=40.2, V NON-SHUNT=37.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 02:29:36.995375,TM28345553: Comment: FLUSH NEEDED
3,2022_04_23 03:34:35.795375,TM28345553: Comment: 16.3 VOLTS
4,2022_04_23 05:54:02.795375,TM28345553: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_23 07:26:55.595375,TM28345553: Comment: EXPECTED SIDEWALK GOT STREET LIGHT
6,2022_04_23 09:25:56.795375,TM28345553: Comment: ELECTRICIAN RELEASED AT 5:10HRS
7,2022_04_23 12:19:18.395375,TM28345553: Comment: ADDITIONAL ASSISTANCE NEEDED
8,2022_04_23 12:44:50.195375,TM28345553: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
9,2022_04_23 15:17:51.995375,TM28345553: Comment: 8.1 VOLTS REMAINING
10,2022_04_23 17:53:10.595375,TM28345553: Comment: FROM 08HQ TO 51G
11,2022_04_23 20:00:09.395375,TM28345553: Comment: 40% HARMONICS
12,2022_04_23 22:38:14.195375,"TM28345553: Comment: SURVEY CONDUCTED, REPORTS 22BQ"
