Line,Time,Remark
1,2022_04_22 18:16:10.602374,HD66567905,ENE,Address99 Part:,HD 99
,,"STRUCTURE=SIDEWALK, VOLTAGE=29.7, GROUND=OFTAL CURB, MSPLATE=00IE, HARMONIC=24.2, V NON-SHUNT=63.6, STATUS=CREW WAITING"
2,2022_04_22 18:52:10.602374,HD66567905: Comment: 10% HARMONICS
3,2022_04_22 21:13:35.802374,HD66567905: Comment: FLUSH NEEDED
4,2022_04_22 22:11:54.402374,HD66567905: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
5,2022_04_23 00:55:59.802374,HD66567905: Comment: FROM 04J TO 29L
6,2022_04_23 02:46:20.202374,HD66567905: Comment: EXPECTED SIDEWALK GOT ASPHALT
7,2022_04_23 03:15:12.402374,HD66567905: Comment: 2.6 VOLTS REMAINING
8,2022_04_23 04:08:17.202374,"HD66567905: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
9,2022_04_23 05:37:25.602374,HD66567905: Comment: CONTACT S&R
10,2022_04_23 08:19:41.802374,HD66567905: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
11,2022_04_23 10:12:17.802374,HD66567905: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
12,2022_04_23 11:22:34.002374,HD66567905: Comment: ELECTRICIAN RELEASED AT 10:18HRS
13,2022_04_23 12:06:14.202374,"HD66567905: Comment: SURVEY CONDUCTED, REPORTS 74BQ"
14,2022_04_23 14:55:13.002374,HD66567905: Comment: ADDITIONAL ASSISTANCE NEEDED
15,2022_04_23 16:41:52.002374,HD66567905: Comment: 13.4 VOLTS
