Line,Time,Remark
1,2022_04_22 19:41:10.534286,EB50999961,ENE,Address4 Part:,RL 4
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=48.4, GROUND=OFTAL FENCE, MSPLATE=97XA, HARMONIC=9.4, V NON-SHUNT=24.6, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 21:47:56.134286,EB50999961: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
3,2022_04_22 23:27:25.534286,EB50999961: Comment: 2.9 VOLTS REMAINING
4,2022_04_23 00:43:13.534286,EB50999961: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_23 01:02:14.734286,EB50999961: Comment: SERVICE VEHICLE REQUESTED
6,2022_04_23 02:44:43.534286,EB50999961: Comment: LOAD TEST SUCCEEDED AT 9:60HRS
7,2022_04_23 03:28:21.334286,EB50999961: Comment: CONTACT S&R
8,2022_04_23 03:51:34.534286,EB50999961: Comment: FROM 22S TO 27JT
9,2022_04_23 05:37:48.934286,"EB50999961: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
10,2022_04_23 06:22:00.334286,EB50999961: Comment: CREW NOTIFIED
11,2022_04_23 08:07:35.134286,EB50999961: Comment: 41.5 VOLTS
