Line,Time,Remark
1,2022_04_22 23:17:29.176375,EB78829599,ENE,Address62 Part:,OF 62
,,"STRUCTURE=TRAFFIC LIGHT, VOLTAGE=85.4, GROUND=STREETSIGN, MSPLATE=74B, HARMONIC=1.8, V NON-SHUNT=24.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 01:03:35.776375,"EB78829599: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
3,2022_04_23 02:42:45.976375,EB78829599: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
4,2022_04_23 04:15:55.576375,EB78829599: Comment: FROM 52IA TO 38OJ
5,2022_04_23 04:42:40.576375,EB78829599: Comment: CONTACT S&R
6,2022_04_23 05:26:24.376375,EB78829599: Comment: FLUSH NEEDED
7,2022_04_23 07:46:45.376375,EB78829599: Comment: ADDITIONAL ASSISTANCE NEEDED
8,2022_04_23 09:04:43.576375,EB78829599: Comment: 3% HARMONICS
9,2022_04_23 12:02:02.776375,"EB78829599: Comment: SURVEY CONDUCTED, REPORTS 45BQ"
