Line,Time,Remark
1,2022_04_22 19:47:01.030719,EB13848344,ENE,Address143 Part:,RL 143
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=86.4, GROUND=OFTAL CURB, MSPLATE=04Z, HARMONIC=46.9, V NON-SHUNT=92.6, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 20:07:20.830719,EB13848344: Comment: FLUSH NEEDED
3,2022_04_22 20:28:23.830719,EB13848344: Comment: EXPECTED MANHOLE COVER GOT MANHOLE COVER
4,2022_04_22 21:35:14.230719,EB13848344: Comment: BFS REQUIRED ON SITE
5,2022_04_22 22:21:55.630719,EB13848344: Comment: 1.1 VOLTS REMAINING
6,2022_04_22 23:33:51.430719,EB13848344: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
7,2022_04_22 23:52:25.030719,EB13848344: Comment: CREW NOTIFIED
8,2022_04_23 00:46:33.430719,EB13848344: Comment: FROM 16RF TO 35VT
9,2022_04_23 00:53:58.630719,EB13848344: Comment: ELECTRICIAN RELEASED AT 9:59HRS
10,2022_04_23 03:36:47.830719,EB13848344: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
11,2022_04_23 04:25:32.230719,EB13848344: Comment: 16% HARMONICS
12,2022_04_23 06:16:34.030719,EB13848344: Comment: ADDITIONAL ASSISTANCE NEEDED
13,2022_04_23 06:31:48.430719,EB13848344: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
14,2022_04_23 06:58:25.630719,EB13848344: Comment: 36.0 VOLTS
