Line,Time,Remark
1,2022_04_23 01:03:25.536287,HD09161612,ENE,Address7 Part:,HD 7
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=55.9, GROUND=OFTAL CURB, MSPLATE=21H, HARMONIC=37.1, V NON-SHUNT=94.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 02:04:33.936287,HD09161612: Comment: BFS REQUIRED ON SITE
3,2022_04_23 02:14:34.536287,HD09161612: Comment: CREW NOTIFIED
4,2022_04_23 02:31:50.736287,HD09161612: Comment: FROM 18QR TO 17A
5,2022_04_23 04:33:06.336287,HD09161612: Comment: EXPECTED SCAFFOLDING GOT DIRT
6,2022_04_23 04:59:32.136287,HD09161612: Comment: 47% HARMONICS
7,2022_04_23 05:33:55.536287,HD09161612: Comment: FLUSH NEEDED
8,2022_04_23 06:00:26.736287,HD09161612: Comment: 5.3 VOLTS REMAINING
9,2022_04_23 08:35:50.736287,HD09161612: Comment: CREW REPORTS VEHICLE NEEDS TO HD MOVED
10,2022_04_23 09:44:49.536287,"HD09161612: Comment: SURVEY CONDUCTED, REPORTS 56BQ"
