Line,Time,Remark
1,2022_04_22 21:03:28.633826,OF30831610,ENE,Address148 Part:,EB 148
,,"STRUCTURE=STORM DRAIN, VOLTAGE=64.9, GROUND=HYDRANT, MSPLATE=85F, HARMONIC=1.9, V NON-SHUNT=43.3, STATUS=CREW WAITING"
2,2022_04_22 21:46:05.233826,OF30831610: Comment: EXPECTED TRAFFIC LIGHT GOT SCAFFOLDING
3,2022_04_22 22:02:56.233826,OF30831610: Comment: 8.3 VOLTS REMAINING
4,2022_04_22 22:55:54.433826,OF30831610: Comment: 49.0 VOLTS
5,2022_04_22 23:12:20.833826,OF30831610: Comment: ADDITIONAL ASSISTANCE NEEDED
6,2022_04_22 23:29:43.033826,OF30831610: Comment: FROM 04WQ TO 80R
7,2022_04_22 23:48:43.033826,OF30831610: Comment: 11% HARMONICS
8,2022_04_23 01:09:03.433826,OF30831610: Comment: ELECTRICIAN RELEASED AT 8:30HRS
9,2022_04_23 03:01:39.433826,OF30831610: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
10,2022_04_23 04:39:06.433826,OF30831610: Comment: LOAD TEST SUCCEEDED AT 5:58HRS
11,2022_04_23 05:58:06.433826,OF30831610: Comment: FLUSH NEEDED
12,2022_04_23 06:36:37.633826,OF30831610: Comment: BFS REQUIRED ON SITE
13,2022_04_23 07:40:37.033826,OF30831610: Comment: SERVICE VEHICLE REQUESTED
14,2022_04_23 10:34:28.633826,"OF30831610: Comment: SURVEY CONDUCTED, REPORTS 24BQ"
