Line,Time,Remark
1,2022_04_22 14:16:28.040825,RL75169415,ENE,Address159 Part:,TM 159
,,"STRUCTURE=SERVICE BOX, VOLTAGE=62.2, GROUND=OFTAL CURB, MSPLATE=55GQ, HARMONIC=18.3, V NON-SHUNT=14.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 15:48:47.240825,RL75169415: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
3,2022_04_22 18:11:25.040825,RL75169415: Comment: BFS REQUIRED ON SITE
4,2022_04_22 18:59:07.640825,RL75169415: Comment: FROM 37L TO 59W
5,2022_04_22 21:23:28.040825,RL75169415: Comment: ADDITIONAL ASSISTANCE NEEDED
6,2022_04_22 21:40:38.840825,RL75169415: Comment: CREW NOTIFIED
7,2022_04_22 22:35:14.840825,RL75169415: Comment: LOAD TEST SUCCEEDED AT 3:15HRS
8,2022_04_22 23:47:56.240825,RL75169415: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
9,2022_04_22 23:58:26.240825,"RL75169415: Comment: SURVEY CONDUCTED, REPORTS 43BQ"
