Line,Time,Remark
1,2022_04_22 22:12:12.972376,HD96330869,ENE,Address56 Part:,EB 56
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=45.8, GROUND=HDTAL FENCE, MSPLATE=30G, HARMONIC=32.4, V NON-SHUNT=92.2, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 23:43:05.772376,HD96330869: Comment: CONTACT S&R
3,2022_04_23 02:09:39.372376,HD96330869: Comment: LOAD TEST SUCCEEDED AT 10:30HRS
4,2022_04_23 04:18:49.572376,HD96330869: Comment: ADDITIONAL ASSISTANCE NEEDED
5,2022_04_23 04:45:16.572376,HD96330869: Comment: CREW NOTIFIED
6,2022_04_23 07:33:06.372376,"HD96330869: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 7PM"
7,2022_04_23 09:02:19.572376,HD96330869: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
8,2022_04_23 10:47:24.972376,HD96330869: Comment: BFS REQUIRED ON SITE
9,2022_04_23 13:35:56.772376,HD96330869: Comment: FLUSH NEEDED
10,2022_04_23 15:37:33.372376,"HD96330869: Comment: SURVEY CONDUCTED, REPORTS 48BQ"
