Line,Time,Remark
1,2022_04_23 03:53:58.066636,EB77590807,ENE,Address199 Part:,EB 199
,,"STRUCTURE=SIDEWALK, VOLTAGE=2.2, GROUND=STREETSIGN, MSPLATE=04M, HARMONIC=29.9, V NON-SHUNT=27.3, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 05:20:45.466636,EB77590807: Comment: BFS REQUIRED ON SITE
3,2022_04_23 05:56:34.666636,"EB77590807: Comment: SURVEY CONDUCTED, REPORTS 35BQ"
4,2022_04_23 06:46:16.066636,EB77590807: Comment: 2.6 VOLTS REMAINING
5,2022_04_23 07:11:13.066636,EB77590807: Comment: ADDITIONAL ASSISTANCE NEEDED
6,2022_04_23 07:21:02.866636,EB77590807: Comment: ELECTRICIAN RELEASED AT 3:23HRS
7,2022_04_23 09:03:45.466636,"EB77590807: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 2PM"
8,2022_04_23 09:20:35.866636,EB77590807: Comment: FLUSH NEEDED
9,2022_04_23 12:03:53.866636,EB77590807: Comment: SERVICE VEHICLE REQUESTED
10,2022_04_23 12:59:25.066636,EB77590807: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
