Line,Time,Remark
1,2022_04_23 02:33:54.983383,HD96333421,ENE,Address72 Part:,RL 72
,,"STRUCTURE=ASPHALT, VOLTAGE=58.8, GROUND=STREETSIGN, MSPLATE=85N, HARMONIC=49.1, V NON-SHUNT=73.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 04:33:32.783383,HD96333421: Comment: BFS REQUIRED ON SITE
3,2022_04_23 06:53:16.583383,HD96333421: Comment: LOAD TEST SUCCEEDED AT 8:50HRS
4,2022_04_23 08:07:08.183383,HD96333421: Comment: 79.3 VOLTS
5,2022_04_23 10:01:18.983383,HD96333421: Comment: FLUSH NEEDED
6,2022_04_23 12:50:40.583383,HD96333421: Comment: CONTACT S&R
7,2022_04_23 14:51:23.183383,HD96333421: Comment: 31% HARMONICS
8,2022_04_23 16:59:48.983383,HD96333421: Comment: 2.6 VOLTS REMAINING
9,2022_04_23 17:17:47.183383,"HD96333421: Comment: SURVEY CONDUCTED, REPORTS 67BQ"
10,2022_04_23 19:16:54.383383,HD96333421: Comment: SERVICE VEHICLE REQUESTED
11,2022_04_23 21:24:09.983383,HD96333421: Comment: CREW NOTIFIED
