Line,Time,Remark
1,2022_04_22 21:38:49.538287,TM46996940,ENE,Address10 Part:,TM 10
,,"STRUCTURE=TRAFFIC LIGHT, VOLTAGE=29.2, GROUND=HYDRANT, MSPLATE=91L, HARMONIC=14.5, V NON-SHUNT=97.0, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 23:33:05.138287,TM46996940: Comment: CONTACT S&R
3,2022_04_23 01:56:14.138287,TM46996940: Comment: ELECTRICIAN RELEASED AT 1:14HRS
4,2022_04_23 02:41:07.538287,"TM46996940: Comment: SURVEY CONDUCTED, REPORTS 36BQ"
5,2022_04_23 04:25:54.938287,TM46996940: Comment: ADDITIONAL ASSISTANCE NEEDED
6,2022_04_23 07:04:30.938287,TM46996940: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
7,2022_04_23 09:43:15.938287,TM46996940: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
8,2022_04_23 10:57:47.138287,TM46996940: Comment: CREW NOTIFIED
9,2022_04_23 13:30:36.938287,TM46996940: Comment: LOAD TEST SUCCEEDED AT 7:23HRS
10,2022_04_23 16:24:34.538287,TM46996940: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
