Line,Time,Remark
1,2022_04_23 03:32:46.063636,RL64959631,ENE,Address194 Part:,EB 194
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=82.5, GROUND=OFTAL CURB, MSPLATE=49H, HARMONIC=32.9, V NON-SHUNT=76.6, STATUS=CREW WAITING"
2,2022_04_23 04:16:02.863636,RL64959631: Comment: 29.6 VOLTS
3,2022_04_23 06:57:11.263636,"RL64959631: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 7PM"
4,2022_04_23 09:14:55.663636,RL64959631: Comment: 2.2 VOLTS REMAINING
5,2022_04_23 09:53:14.863636,RL64959631: Comment: FROM 68HF TO 17B
6,2022_04_23 10:26:35.863636,RL64959631: Comment: LOAD TEST SUCCEEDED AT 6:37HRS
7,2022_04_23 12:47:10.063636,RL64959631: Comment: SERVICE VEHICLE REQUESTED
8,2022_04_23 13:38:08.263636,RL64959631: Comment: EXPECTED ASPHALT GOT SERVICE BOX
9,2022_04_23 14:27:22.063636,RL64959631: Comment: FLUSH NEEDED
10,2022_04_23 14:35:50.863636,RL64959631: Comment: ELECTRICIAN RELEASED AT 3:36HRS
