Line,Time,Remark
1,2022_04_23 04:29:07.059536,HD30269696,ENE,Address188 Part:,HD 188
,,"STRUCTURE=GAS CAP, VOLTAGE=50.3, GROUND=STREETSIGN, MSPLATE=10HB, HARMONIC=45.9, V NON-SHUNT=92.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 07:28:19.059536,HD30269696: Comment: 33% HARMONICS
3,2022_04_23 08:33:25.659536,HD30269696: Comment: 45.1 VOLTS
4,2022_04_23 08:51:46.059536,HD30269696: Comment: ADDITIONAL ASSISTANCE NEEDED
5,2022_04_23 09:23:56.259536,HD30269696: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
6,2022_04_23 12:08:44.859536,HD30269696: Comment: CONTACT S&R
7,2022_04_23 12:32:19.659536,HD30269696: Comment: EXPECTED SCAFFOLDING GOT DIRT
8,2022_04_23 14:30:21.459536,HD30269696: Comment: FROM 38J TO 91W
9,2022_04_23 14:35:44.259536,HD30269696: Comment: BFS REQUIRED ON SITE
10,2022_04_23 16:30:51.459536,HD30269696: Comment: ELECTRICIAN RELEASED AT 2:38HRS
11,2022_04_23 17:13:40.059536,HD30269696: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
12,2022_04_23 18:37:20.259536,"HD30269696: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
13,2022_04_23 19:28:52.059536,HD30269696: Comment: 8.9 VOLTS REMAINING
14,2022_04_23 21:38:25.059536,"HD30269696: Comment: SURVEY CONDUCTED, REPORTS 65BQ"
15,2022_04_23 22:19:05.259536,HD30269696: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
