Line,Time,Remark
1,2022_04_23 02:54:08.750287,EB83864696,ENE,Address27 Part:,RL 27
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=37.1, GROUND=OFTAL FENCE, MSPLATE=75D, HARMONIC=46.4, V NON-SHUNT=77.4, STATUS=CREW WAITING"
2,2022_04_23 05:14:23.750287,EB83864696: Comment: FROM 84LN TO 43US
3,2022_04_23 06:10:08.150287,EB83864696: Comment: CONTACT S&R
4,2022_04_23 07:12:31.550287,EB83864696: Comment: SERVICE VEHICLE REQUESTED
5,2022_04_23 07:57:54.350287,EB83864696: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
6,2022_04_23 10:51:16.550287,"EB83864696: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
7,2022_04_23 12:53:03.350287,EB83864696: Comment: LOAD TEST SUCCEEDED AT 7:51HRS
8,2022_04_23 14:34:47.750287,"EB83864696: Comment: SURVEY CONDUCTED, REPORTS 43BQ"
9,2022_04_23 15:35:46.550287,EB83864696: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
10,2022_04_23 16:39:03.350287,EB83864696: Comment: EXPECTED STREET LIGHT GOT MANHOLE COVER
11,2022_04_23 18:08:39.950287,EB83864696: Comment: 45% HARMONICS
