Line,Time,Remark
1,2022_04_23 04:39:11.202374,TM57865125,ENE,Address100 Part:,OF 100
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=52.9, GROUND=OFTAL CURB, MSPLATE=18OH, HARMONIC=14.6, V NON-SHUNT=54.8, STATUS=CREW WAITING"
2,2022_04_23 04:44:52.602374,TM57865125: Comment: 1.0 VOLTS REMAINING
3,2022_04_23 07:15:22.602374,TM57865125: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
4,2022_04_23 08:31:54.402374,TM57865125: Comment: CONTACT S&R
5,2022_04_23 09:40:52.602374,TM57865125: Comment: BFS REQUIRED ON SITE
6,2022_04_23 11:17:26.202374,"TM57865125: Comment: SURVEY CONDUCTED, REPORTS 63BQ"
7,2022_04_23 13:50:13.602374,TM57865125: Comment: ELECTRICIAN RELEASED AT 5:54HRS
8,2022_04_23 15:21:27.402374,TM57865125: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
9,2022_04_23 17:27:05.202374,TM57865125: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
