Line,Time,Remark
1,2022_04_22 13:03:56.841933,TM09876314,ENE,Address161 Part:,HD 161
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=23.9, GROUND=OFTAL FENCE, MSPLATE=48E, HARMONIC=44.2, V NON-SHUNT=36.1, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 15:11:51.441933,TM09876314: Comment: FROM 70P TO 51RI
3,2022_04_22 16:56:38.841933,TM09876314: Comment: 17% HARMONICS
4,2022_04_22 17:48:04.641933,TM09876314: Comment: SERVICE VEHICLE REQUESTED
5,2022_04_22 17:58:23.841933,TM09876314: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
6,2022_04_22 19:44:35.841933,TM09876314: Comment: CREW NOTIFIED
7,2022_04_22 20:25:56.841933,TM09876314: Comment: CONTACT S&R
8,2022_04_22 22:58:02.241933,TM09876314: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
9,2022_04_23 01:50:41.841933,TM09876314: Comment: 6.4 VOLTS REMAINING
10,2022_04_23 04:08:27.441933,TM09876314: Comment: ELECTRICIAN RELEASED AT 6:36HRS
11,2022_04_23 06:55:52.641933,TM09876314: Comment: LOAD TEST SUCCEEDED AT 10:44HRS
