Line,Time,Remark
1,2022_04_22 21:38:12.390374,RL69488697,ENE,Address82 Part:,RL 82
,,"STRUCTURE=ASPHALT, VOLTAGE=2.7, GROUND=OFTAL CURB, MSPLATE=44OY, HARMONIC=31.8, V NON-SHUNT=85.1, STATUS=CREW WAITING"
2,2022_04_23 00:05:35.790374,RL69488697: Comment: ELECTRICIAN RELEASED AT 4:19HRS
3,2022_04_23 02:26:26.790374,RL69488697: Comment: CREW NOTIFIED
4,2022_04_23 05:10:08.790374,RL69488697: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_23 06:08:14.190374,RL69488697: Comment: FROM 11RP TO 71Y
6,2022_04_23 08:41:59.790374,"RL69488697: Comment: SURVEY CONDUCTED, REPORTS 32BQ"
7,2022_04_23 10:49:17.790374,RL69488697: Comment: LOAD TEST SUCCEEDED AT 5:29HRS
8,2022_04_23 13:01:20.790374,RL69488697: Comment: BFS REQUIRED ON SITE
9,2022_04_23 13:54:34.590374,RL69488697: Comment: EXPECTED GAS CAP GOT SCAFFOLDING
10,2022_04_23 15:15:51.990374,RL69488697: Comment: 47% HARMONICS
