Line,Time,Remark
1,2022_04_22 17:48:54.966382,OF13360402,ENE,Address47 Part:,HD 47
,,"STRUCTURE=TRAFFIC LIGHT, VOLTAGE=72.1, GROUND=OFTAL FENCE, MSPLATE=56N, HARMONIC=31.7, V NON-SHUNT=73.7, STATUS=CREW WAITING"
2,2022_04_22 20:08:22.566382,OF13360402: Comment: LOAD TEST SUCCEEDED AT 7:13HRS
3,2022_04_22 22:40:09.966382,OF13360402: Comment: FROM 44C TO 75KN
4,2022_04_23 01:06:03.966382,"OF13360402: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 7PM"
5,2022_04_23 02:34:24.366382,"OF13360402: Comment: SURVEY CONDUCTED, REPORTS 15BQ"
6,2022_04_23 05:15:26.166382,OF13360402: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
7,2022_04_23 05:23:50.766382,OF13360402: Comment: CREW NOTIFIED
8,2022_04_23 06:20:28.566382,OF13360402: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 09:14:32.166382,OF13360402: Comment: ADDITIONAL ASSISTANCE NEEDED
10,2022_04_23 10:32:14.166382,OF13360402: Comment: FLUSH NEEDED
11,2022_04_23 11:04:28.566382,OF13360402: Comment: 19.2 VOLTS
12,2022_04_23 12:17:09.366382,OF13360402: Comment: 7% HARMONICS
13,2022_04_23 14:27:56.166382,OF13360402: Comment: BFS REQUIRED ON SITE
14,2022_04_23 15:10:54.366382,OF13360402: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
