Line,Time,Remark
1,2022_04_22 23:18:48.408374,TM55522443,ENE,Address109 Part:,RL 109
,,"STRUCTURE=TRAFFIC LIGHT, VOLTAGE=14.3, GROUND=OFTAL CURB, MSPLATE=41M, HARMONIC=46.2, V NON-SHUNT=35.4, STATUS=CREW WAITING"
2,2022_04_23 00:25:41.808374,TM55522443: Comment: CREW NOTIFIED
3,2022_04_23 01:02:53.808374,TM55522443: Comment: FROM 29GD TO 84A
4,2022_04_23 03:24:01.608374,"TM55522443: Comment: SURVEY CONDUCTED, REPORTS 16BQ"
5,2022_04_23 06:19:52.008374,TM55522443: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
6,2022_04_23 06:47:31.608374,TM55522443: Comment: CONTACT S&R
7,2022_04_23 07:16:43.608374,TM55522443: Comment: BFS REQUIRED ON SITE
8,2022_04_23 07:52:37.608374,TM55522443: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
9,2022_04_23 10:16:18.408374,TM55522443: Comment: FLUSH NEEDED
10,2022_04_23 11:20:16.008374,TM55522443: Comment: 74.5 VOLTS
11,2022_04_23 12:19:54.408374,TM55522443: Comment: SERVICE VEHICLE REQUESTED
12,2022_04_23 13:35:29.208374,TM55522443: Comment: ADDITIONAL ASSISTANCE NEEDED
13,2022_04_23 15:06:04.008374,TM55522443: Comment: 7.6 VOLTS REMAINING
14,2022_04_23 16:56:26.208374,TM55522443: Comment: ELECTRICIAN RELEASED AT 10:48HRS
15,2022_04_23 19:31:13.608374,TM55522443: Comment: LOAD TEST SUCCEEDED AT 6:19HRS
