Line,Time,Remark
1,2022_04_22 20:31:09.456536,RL53022931,ENE,Address183 Part:,EB 183
,,"STRUCTURE=STREET LIGHT, VOLTAGE=4.0, GROUND=HYDRANT, MSPLATE=25I, HARMONIC=14.3, V NON-SHUNT=88.7, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 23:07:17.856536,RL53022931: Comment: LOAD TEST SUCCEEDED AT 11:16HRS
3,2022_04_23 01:04:23.256536,RL53022931: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
4,2022_04_23 01:29:59.856536,RL53022931: Comment: CREW NOTIFIED
5,2022_04_23 03:03:10.056536,RL53022931: Comment: SERVICE VEHICLE REQUESTED
6,2022_04_23 04:15:38.256536,RL53022931: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
7,2022_04_23 06:10:47.856536,"RL53022931: Comment: SURVEY CONDUCTED, REPORTS 76BQ"
8,2022_04_23 07:25:37.056536,RL53022931: Comment: FLUSH NEEDED
9,2022_04_23 08:06:19.056536,RL53022931: Comment: 6.3 VOLTS REMAINING
10,2022_04_23 08:25:37.056536,"RL53022931: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
11,2022_04_23 08:46:19.056536,RL53022931: Comment: EXPECTED STORM DRAIN GOT STORM DRAIN
12,2022_04_23 10:28:05.856536,RL53022931: Comment: FROM 39QZ TO 08Z
13,2022_04_23 11:20:52.656536,RL53022931: Comment: 87.9 VOLTS
14,2022_04_23 13:23:07.056536,RL53022931: Comment: CONTACT S&R
15,2022_04_23 14:50:43.656536,RL53022931: Comment: ADDITIONAL ASSISTANCE NEEDED
