Line,Time,Remark
1,2022_04_22 20:32:02.191375,OF25924096,ENE,Address83 Part:,EB 83
,,"STRUCTURE=STORM DRAIN, VOLTAGE=46.3, GROUND=OFTAL CURB, MSPLATE=20PI, HARMONIC=9.8, V NON-SHUNT=61.5, STATUS=CREW WAITING"
2,2022_04_22 23:27:35.191375,OF25924096: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
3,2022_04_23 02:00:36.991375,OF25924096: Comment: CREW NOTIFIED
4,2022_04_23 02:41:18.991375,OF25924096: Comment: 29% HARMONICS
5,2022_04_23 04:15:15.391375,OF25924096: Comment: BFS REQUIRED ON SITE
6,2022_04_23 06:42:00.391375,OF25924096: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
7,2022_04_23 08:24:22.591375,"OF25924096: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
8,2022_04_23 10:26:02.791375,OF25924096: Comment: FLUSH NEEDED
9,2022_04_23 13:00:06.391375,OF25924096: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
10,2022_04_23 13:20:12.391375,OF25924096: Comment: FROM 68X TO 47M
11,2022_04_23 15:14:47.791375,OF25924096: Comment: ELECTRICIAN RELEASED AT 8:41HRS
12,2022_04_23 16:56:21.391375,"OF25924096: Comment: SURVEY CONDUCTED, REPORTS 79BQ"
