Line,Time,Remark
1,2022_04_22 14:16:59.755288,RL13257867,ENE,Address32 Part:,EB 32
,,"STRUCTURE=SIDEWALK, VOLTAGE=89.1, GROUND=STREETSIGN, MSPLATE=04J, HARMONIC=10.6, V NON-SHUNT=80.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 16:04:24.355288,RL13257867: Comment: ELECTRICIAN RELEASED AT 6:31HRS
3,2022_04_22 18:48:28.555288,RL13257867: Comment: LOAD TEST SUCCEEDED AT 12:24HRS
4,2022_04_22 21:44:07.555288,RL13257867: Comment: 5.5 VOLTS
5,2022_04_22 23:02:16.555288,RL13257867: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
6,2022_04_22 23:33:43.555288,RL13257867: Comment: CONTACT S&R
7,2022_04_23 01:15:47.755288,RL13257867: Comment: FROM 59HQ TO 52A
8,2022_04_23 03:33:39.955288,RL13257867: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
9,2022_04_23 05:11:21.355288,RL13257867: Comment: CREW NOTIFIED
10,2022_04_23 07:48:28.555288,"RL13257867: Comment: SURVEY CONDUCTED, REPORTS 53BQ"
