Line,Time,Remark
1,2022_04_23 02:05:44.843933,TM99000913,ENE,Address164 Part:,RL 164
,,"STRUCTURE=DIRT, VOLTAGE=20.5, GROUND=OFTAL FENCE, MSPLATE=98QO, HARMONIC=31.7, V NON-SHUNT=23.5, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 04:47:43.043933,TM99000913: Comment: 32% HARMONICS
3,2022_04_23 06:40:46.643933,TM99000913: Comment: CREW NOTIFIED
4,2022_04_23 07:42:33.443933,TM99000913: Comment: SERVICE VEHICLE REQUESTED
5,2022_04_23 09:29:11.843933,TM99000913: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
6,2022_04_23 10:05:49.643933,TM99000913: Comment: ADDITIONAL ASSISTANCE NEEDED
7,2022_04_23 10:53:58.043933,TM99000913: Comment: 70.5 VOLTS
8,2022_04_23 12:49:56.243933,TM99000913: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
9,2022_04_23 14:41:46.643933,"TM99000913: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 2PM"
