Line,Time,Remark
1,2022_04_22 17:24:45.978375,RL48904769,ENE,Address65 Part:,EB 65
,,"STRUCTURE=GAS CAP, VOLTAGE=40.9, GROUND=OFTAL FENCE, MSPLATE=50YY, HARMONIC=2.0, V NON-SHUNT=26.5, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:37:33.378375,RL48904769: Comment: FLUSH NEEDED
3,2022_04_22 21:34:01.578375,RL48904769: Comment: CREW NOTIFIED
4,2022_04_22 21:41:43.578375,RL48904769: Comment: FROM 33BJ TO 00J
5,2022_04_22 21:49:41.778375,RL48904769: Comment: LOAD TEST SUCCEEDED AT 2:21HRS
6,2022_04_22 23:25:53.778375,RL48904769: Comment: CONTACT S&R
7,2022_04_23 02:23:00.378375,RL48904769: Comment: BFS REQUIRED ON SITE
8,2022_04_23 03:33:41.778375,RL48904769: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
9,2022_04_23 05:09:09.378375,"RL48904769: Comment: SURVEY CONDUCTED, REPORTS 51BQ"
