Line,Time,Remark
1,2022_04_22 21:51:17.157287,EB57711575,ENE,Address34 Part:,HD 34
,,"STRUCTURE=SERVICE BOX, VOLTAGE=45.4, GROUND=HYDRANT, MSPLATE=56HJ, HARMONIC=32.7, V NON-SHUNT=91.1, STATUS=CREW WAITING"
2,2022_04_22 23:18:14.157287,EB57711575: Comment: SERVICE VEHICLE REQUESTED
3,2022_04_22 23:56:37.557287,EB57711575: Comment: BFS REQUIRED ON SITE
4,2022_04_23 00:42:39.357287,EB57711575: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_23 03:39:54.357287,EB57711575: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
6,2022_04_23 04:33:14.157287,EB57711575: Comment: CREW NOTIFIED
7,2022_04_23 07:30:05.757287,EB57711575: Comment: FROM 95T TO 60U
8,2022_04_23 10:07:49.557287,EB57711575: Comment: 37% HARMONICS
9,2022_04_23 10:15:51.957287,EB57711575: Comment: 8.1 VOLTS REMAINING
