Line,Time,Remark
1,2022_04_22 20:18:18.988376,OF24013529,ENE,Address79 Part:,OF 79
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=33.7, GROUND=HYDRANT, MSPLATE=38N, HARMONIC=15.9, V NON-SHUNT=89.1, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 20:54:05.188376,OF24013529: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
3,2022_04_22 22:54:11.788376,OF24013529: Comment: 20% HARMONICS
4,2022_04_23 01:08:35.788376,OF24013529: Comment: 9.5 VOLTS REMAINING
5,2022_04_23 01:14:47.788376,OF24013529: Comment: BFS REQUIRED ON SITE
6,2022_04_23 03:08:29.788376,"OF24013529: Comment: SURVEY CONDUCTED, REPORTS 43BQ"
7,2022_04_23 05:40:40.588376,OF24013529: Comment: CONTACT S&R
8,2022_04_23 08:05:18.988376,OF24013529: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 10:59:11.188376,OF24013529: Comment: SERVICE VEHICLE REQUESTED
10,2022_04_23 13:10:51.988376,OF24013529: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
11,2022_04_23 15:12:08.188376,OF24013529: Comment: FLUSH NEEDED
12,2022_04_23 15:17:39.988376,OF24013529: Comment: FROM 95A TO 75MQ
13,2022_04_23 15:37:14.788376,OF24013529: Comment: 49.4 VOLTS
