Line,Time,Remark
1,2022_04_23 04:46:11.818574,OF58830083,ENE,Address124 Part:,TM 124
,,"STRUCTURE=DIRT, VOLTAGE=10.7, GROUND=STREETSIGN, MSPLATE=10CU, HARMONIC=21.0, V NON-SHUNT=86.3, STATUS=CREW WAITING"
2,2022_04_23 06:25:11.218574,OF58830083: Comment: ELECTRICIAN RELEASED AT 8:37HRS
3,2022_04_23 07:24:26.218574,OF58830083: Comment: BFS REQUIRED ON SITE
4,2022_04_23 09:25:32.218574,OF58830083: Comment: FLUSH NEEDED
5,2022_04_23 11:54:08.218574,OF58830083: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
6,2022_04_23 14:31:14.218574,OF58830083: Comment: CONTACT S&R
7,2022_04_23 16:08:47.818574,OF58830083: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
8,2022_04_23 19:02:40.618574,OF58830083: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 20:33:33.418574,OF58830083: Comment: ADDITIONAL ASSISTANCE NEEDED
10,2022_04_23 21:59:49.018574,OF58830083: Comment: EXPECTED MANHOLE COVER GOT SERVICE BOX
11,2022_04_24 00:28:01.018574,"OF58830083: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
