Line,Time,Remark
1,2022_04_22 16:49:20.173376,OF46123266,ENE,Address58 Part:,EB 58
,,"STRUCTURE=GAS CAP, VOLTAGE=3.4, GROUND=STREETSIGN, MSPLATE=39BF, HARMONIC=23.9, V NON-SHUNT=95.2, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 18:19:47.173376,OF46123266: Comment: ADDITIONAL ASSISTANCE NEEDED
3,2022_04_22 21:19:22.573376,OF46123266: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
4,2022_04_22 22:16:15.973376,OF46123266: Comment: FLUSH NEEDED
5,2022_04_22 23:21:11.773376,OF46123266: Comment: EXPECTED MANHOLE COVER GOT ASPHALT
6,2022_04_22 23:43:30.973376,"OF46123266: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
7,2022_04_23 01:33:48.973376,OF46123266: Comment: CONTACT S&R
8,2022_04_23 03:45:23.773376,OF46123266: Comment: 31% HARMONICS
9,2022_04_23 06:27:32.173376,OF46123266: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
10,2022_04_23 07:09:06.973376,OF46123266: Comment: 7.3 VOLTS REMAINING
11,2022_04_23 08:41:04.573376,OF46123266: Comment: FROM 92A TO 88X
12,2022_04_23 09:07:52.573376,OF46123266: Comment: 54.2 VOLTS
