Line,Time,Remark
1,2022_04_22 19:38:06.984374,TM52603987,ENE,Address73 Part:,EB 73
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=46.4, GROUND=OFTAL FENCE, MSPLATE=19TY, HARMONIC=17.2, V NON-SHUNT=16.4, STATUS=CREW WAITING"
2,2022_04_22 20:16:37.584374,TM52603987: Comment: SERVICE VEHICLE REQUESTED
3,2022_04_22 21:19:53.784374,TM52603987: Comment: 90.5 VOLTS
4,2022_04_22 21:51:33.384374,TM52603987: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
5,2022_04_22 22:01:35.784374,TM52603987: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
6,2022_04_22 23:52:03.384374,TM52603987: Comment: LOAD TEST SUCCEEDED AT 5:18HRS
7,2022_04_23 00:58:11.184374,TM52603987: Comment: 2.7 VOLTS REMAINING
8,2022_04_23 02:58:34.584374,TM52603987: Comment: CONTACT S&R
9,2022_04_23 05:13:43.584374,TM52603987: Comment: ADDITIONAL ASSISTANCE NEEDED
10,2022_04_23 06:54:08.784374,TM52603987: Comment: BFS REQUIRED ON SITE
11,2022_04_23 09:38:35.184374,TM52603987: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
