Line,Time,Remark
1,2022_04_22 15:47:12.415574,RL77744831,ENE,Address119 Part:,HD 119
,,"STRUCTURE=SERVICE BOX, VOLTAGE=71.8, GROUND=OFTAL CURB, MSPLATE=64G, HARMONIC=3.9, V NON-SHUNT=74.7, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 17:07:14.815574,RL77744831: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
3,2022_04_22 18:52:13.015574,RL77744831: Comment: 64.6 VOLTS
4,2022_04_22 20:27:01.015574,RL77744831: Comment: 2.7 VOLTS REMAINING
5,2022_04_22 21:22:47.215574,RL77744831: Comment: ADDITIONAL ASSISTANCE NEEDED
6,2022_04_22 21:54:03.415574,RL77744831: Comment: FLUSH NEEDED
7,2022_04_23 00:25:30.415574,"RL77744831: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 2PM"
8,2022_04_23 03:22:52.015574,RL77744831: Comment: BFS REQUIRED ON SITE
9,2022_04_23 03:54:51.415574,RL77744831: Comment: CONTACT S&R
10,2022_04_23 04:04:32.815574,RL77744831: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
11,2022_04_23 07:00:01.615574,RL77744831: Comment: CREW NOTIFIED
12,2022_04_23 08:02:29.815574,RL77744831: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
