Line,Time,Remark
1,2022_04_22 14:52:21.431825,OF59594818,ENE,Address144 Part:,OF 144
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=47.5, GROUND=HYDRANT, MSPLATE=06U, HARMONIC=31.2, V NON-SHUNT=83.3, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 15:04:48.431825,OF59594818: Comment: FLUSH NEEDED
3,2022_04_22 16:52:22.631825,OF59594818: Comment: EXPECTED SERVICE BOX GOT MANHOLE COVER
4,2022_04_22 17:41:47.831825,OF59594818: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
5,2022_04_22 18:14:19.031825,OF59594818: Comment: CONTACT S&R
6,2022_04_22 18:24:04.631825,OF59594818: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
7,2022_04_22 19:37:16.631825,OF59594818: Comment: ADDITIONAL ASSISTANCE NEEDED
8,2022_04_22 21:06:43.631825,OF59594818: Comment: FROM 91DV TO 55V
9,2022_04_23 00:04:04.031825,OF59594818: Comment: 31.4 VOLTS
10,2022_04_23 00:39:28.031825,OF59594818: Comment: 2.3 VOLTS REMAINING
11,2022_04_23 01:15:08.231825,OF59594818: Comment: 43% HARMONICS
12,2022_04_23 02:08:16.031825,OF59594818: Comment: CREW NOTIFIED
