Line,Time,Remark
1,2022_04_23 01:00:35.138287,OF61060135,ENE,Address9 Part:,OF 9
,,"STRUCTURE=SIDEWALK, VOLTAGE=49.1, GROUND=OFTAL FENCE, MSPLATE=02L, HARMONIC=15.8, V NON-SHUNT=43.2, STATUS=CREW WAITING"
2,2022_04_23 03:11:44.738287,OF61060135: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
3,2022_04_23 06:04:10.538287,OF61060135: Comment: SERVICE VEHICLE REQUESTED
4,2022_04_23 08:47:18.938287,OF61060135: Comment: CREW NOTIFIED
5,2022_04_23 10:30:29.138287,OF61060135: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
6,2022_04_23 12:17:59.738287,OF61060135: Comment: FLUSH NEEDED
7,2022_04_23 13:15:42.338287,"OF61060135: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
8,2022_04_23 16:02:02.738287,OF61060135: Comment: 3.2 VOLTS REMAINING
9,2022_04_23 17:44:32.738287,"OF61060135: Comment: SURVEY CONDUCTED, REPORTS 27BQ"
10,2022_04_23 20:20:52.538287,OF61060135: Comment: FROM 19O TO 79U
