Line,Time,Remark
1,2022_04_23 04:13:23.801374,HD93677454,ENE,Address97 Part:,HD 97
,,"STRUCTURE=SIDEWALK, VOLTAGE=9.1, GROUND=HYDRANT, MSPLATE=16QM, HARMONIC=13.8, V NON-SHUNT=47.7, STATUS=CREW WAITING"
2,2022_04_23 06:12:05.201374,HD93677454: Comment: 2.7 VOLTS REMAINING
3,2022_04_23 07:19:05.801374,"HD93677454: Comment: SURVEY CONDUCTED, REPORTS 42BQ"
4,2022_04_23 08:00:03.401374,HD93677454: Comment: ADDITIONAL ASSISTANCE NEEDED
5,2022_04_23 10:04:56.201374,HD93677454: Comment: 37% HARMONICS
6,2022_04_23 10:22:58.001374,HD93677454: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
7,2022_04_23 12:25:13.001374,HD93677454: Comment: ELECTRICIAN RELEASED AT 7:13HRS
8,2022_04_23 13:04:06.401374,HD93677454: Comment: CONTACT S&R
9,2022_04_23 14:49:30.401374,HD93677454: Comment: FROM 41S TO 38I
