Line,Time,Remark
1,2022_04_22 17:25:34.652542,EB56991793,ENE,Address177 Part:,HD 177
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=50.6, GROUND=STREETSIGN, MSPLATE=11TR, HARMONIC=32.7, V NON-SHUNT=77.1, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:07:42.452542,EB56991793: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
3,2022_04_22 20:40:01.652542,EB56991793: Comment: EXPECTED MANHOLE COVER GOT STORM DRAIN
4,2022_04_22 22:04:30.452542,EB56991793: Comment: CONTACT S&R
5,2022_04_22 22:44:46.652542,EB56991793: Comment: ADDITIONAL ASSISTANCE NEEDED
6,2022_04_23 01:08:00.452542,EB56991793: Comment: 2% HARMONICS
7,2022_04_23 01:33:26.252542,EB56991793: Comment: FLUSH NEEDED
8,2022_04_23 04:28:25.052542,EB56991793: Comment: BFS REQUIRED ON SITE
9,2022_04_23 04:42:54.452542,EB56991793: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
10,2022_04_23 04:55:10.652542,"EB56991793: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
11,2022_04_23 07:44:49.052542,EB56991793: Comment: 1.2 VOLTS REMAINING
12,2022_04_23 08:28:14.852542,"EB56991793: Comment: SURVEY CONDUCTED, REPORTS 39BQ"
13,2022_04_23 09:52:35.252542,EB56991793: Comment: LOAD TEST SUCCEEDED AT 2:32HRS
14,2022_04_23 10:45:07.652542,EB56991793: Comment: SERVICE VEHICLE REQUESTED
15,2022_04_23 11:01:58.652542,EB56991793: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
