Line,Time,Remark
1,2022_04_23 02:44:10.579374,HD98270524,ENE,Address66 Part:,HD 66
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=31.2, GROUND=HDTAL FENCE, MSPLATE=22VO, HARMONIC=44.0, V NON-SHUNT=81.6, STATUS=CREW WAITING"
2,2022_04_23 03:11:41.779374,HD98270524: Comment: SERVICE VEHICLE REQUESTED
3,2022_04_23 03:56:13.579374,HD98270524: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
4,2022_04_23 06:19:12.979374,HD98270524: Comment: FROM 56VY TO 07S
5,2022_04_23 08:51:12.979374,HD98270524: Comment: 18% HARMONICS
6,2022_04_23 10:39:58.579374,HD98270524: Comment: 36.2 VOLTS
7,2022_04_23 11:52:01.579374,HD98270524: Comment: ELECTRICIAN RELEASED AT 3:11HRS
8,2022_04_23 12:57:30.379374,"HD98270524: Comment: SURVEY CONDUCTED, REPORTS 62BQ"
9,2022_04_23 14:17:28.579374,HD98270524: Comment: CONTACT S&R
10,2022_04_23 16:58:29.179374,HD98270524: Comment: 0.8 VOLTS REMAINING
11,2022_04_23 18:10:01.579374,HD98270524: Comment: EXPECTED ROLLDOWN GATE GOT ROLLDOWN GATE
12,2022_04_23 18:15:56.179374,HD98270524: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
13,2022_04_23 21:05:27.379374,HD98270524: Comment: BFS REQUIRED ON SITE
14,2022_04_24 00:02:42.379374,HD98270524: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
